Gene,Score
51150_at,14.08996775
55314_at,14.07328126
6956_at,14.06833011
253558_at,14.0618114
57291_at,14.0422968
79791_at,14.04113921
90529_at,14.03672839
11221_at,14.02986501
51474_at,14.02421784
253725_at,14.02419443
619569_at,13.99683621
28692_at,13.98020305
100289333_at,13.96881904
440603_at,13.96802581
84861_at,13.96469755
301_at,13.95636679
343171_at,13.94926638
414765_at,13.94358228
124535_at,13.9386872
101929767_at,13.92896318
930_at,13.92815294
79836_at,13.92448746
28822_at,13.9234636
400512_at,13.90692634
442234_at,13.88593106
6472_at,13.86740573
93145_at,13.85732753
5911_at,13.8533098
100287402_at,13.85160102
28725_at,13.84154728
60626_at,13.82608463
93953_at,13.81430738
840_at,13.81324581
100462953_at,13.8121089
3494_at,13.81073583
10201_at,13.80709654
692196_at,13.80006329
10197_at,13.7858214
245802_at,13.77686603
100506779_at,13.75890822
5110_at,13.74771691
5187_at,13.74272474
28689_at,13.73925139
23313_at,13.72578432
6303_at,13.72063306
28699_at,13.72000452
729340_at,13.71833125
1725_at,13.71766969
8655_at,13.7140204
23095_at,13.7099355
28746_at,13.70289062
23762_at,13.69922166
3039_at,13.67448023
6732_at,13.66958224
923_at,13.6663467
3501_at,13.65739995
23274_at,13.65626639
619568_at,13.65285695
51301_at,13.6464533
100506710_at,13.62986058
4150_at,13.61848769
5569_at,13.61754373
56935_at,13.60852495
79594_at,13.58204175
6921_at,13.57974384
684959_at,13.56920707
105369609_at,13.56022032
4353_at,13.55058015
2207_at,13.53827356
23386_at,13.53217334
90120_at,13.529615
1350_at,13.52296465
197320_at,13.50863401
80317_at,13.50718191
389541_at,13.50206283
64061_at,13.49318137
11072_at,13.48735505
641467_at,13.48415425
28688_at,13.47454723
28666_at,13.47196737
3624_at,13.46045086
8454_at,13.45665695
6583_at,13.44615752
115350_at,13.44495014
2519_at,13.44309273
106144599_at,13.43729237
79960_at,13.43269901
8079_at,13.42721656
113263_at,13.42286949
28702_at,13.38804062
28684_at,13.38744571
7324_at,13.36627175
105377864_at,13.36049106
267_at,13.32721103
51125_at,13.29453339
28774_at,13.28755111
105376290_at,13.28184288
917_at,13.28097448
388564_at,13.28088926
28449_at,13.27671416
28797_at,13.27516798
150759_at,13.26537316
28717_at,13.25186288
340547_at,13.24959442
79037_at,13.2471452
84993_at,13.23358779
146434_at,13.22695332
4211_at,13.22107257
28724_at,13.21589067
55907_at,13.20311351
965_at,13.19266931
79786_at,13.18612983
58475_at,13.16465949
28747_at,13.14650674
28670_at,13.14211542
84689_at,13.13731977
54847_at,13.13538222
8718_at,13.13225737
28733_at,13.12267046
2286_at,13.11606065
283888_at,13.1123978
23164_at,13.09563468
114034_at,13.09411374
28609_at,13.08502998
388_at,13.07499859
4953_at,13.07450825
56052_at,13.06376718
28710_at,13.06095785
28501_at,13.05764458
28719_at,13.04528051
147007_at,13.03531752
101929447_at,13.02331286
642262_at,13.02163181
105379054_at,13.00963217
80232_at,13.00528527
5824_at,12.97656314
100420571_at,12.9427905
140606_at,12.92225924
5152_at,12.91993696
23670_at,12.91188093
105375839_at,12.91076808
286333_at,12.9011927
52_at,12.89943199
79368_at,12.8937203
6319_at,12.88250025
100505648_at,12.87591442
1347_at,12.87533721
9422_at,12.87441723
4312_at,12.8737782
22954_at,12.86602928
28594_at,12.85725428
307_at,12.85720261
1495_at,12.8556862
284367_at,12.85340669
79064_at,12.83606469
847_at,12.81451305
28387_at,12.80595403
2788_at,12.80514251
26775_at,12.80240317
100505783_at,12.80030201
51071_at,12.77099306
64596_at,12.74734747
201475_at,12.73031955
10273_at,12.7286361
151176_at,12.72489117
777_at,12.72458478
10964_at,12.71803931
109616971_at,12.71411987
10055_at,12.71036074
28680_at,12.70325067
56941_at,12.70302005
825_at,12.69591407
3730_at,12.68770724
9760_at,12.68696121
402120_at,12.68341663
274_at,12.66691355
7444_at,12.66632482
25826_at,12.64759061
57001_at,12.64308306
26030_at,12.63355933
80774_at,12.63073134
2308_at,12.62284954
286336_at,12.62220124
10263_at,12.61505241
81847_at,12.61183353
8570_at,12.6091988
7453_at,12.60679898
3148_at,12.59881197
115201_at,12.58606818
11156_at,12.58503138
203859_at,12.56109906
28505_at,12.54733164
28732_at,12.53414577
1991_at,12.52921772
2210_at,12.51751061
975_at,12.51571061
93058_at,12.50408998
81993_at,12.50157137
59340_at,12.49712697
25893_at,12.4949934
729083_at,12.48987533
91782_at,12.48338521
147686_at,12.47295932
23587_at,12.46312726
131450_at,12.45594593
54681_at,12.45279313
6645_at,12.43314546
83743_at,12.43192049
7423_at,12.42935132
22955_at,12.42843741
28804_at,12.42460393
54915_at,12.42234739
142_at,12.40471851
116115_at,12.40042045
388650_at,12.39813338
718_at,12.38600695
89894_at,12.378693
100616456_at,12.37819715
28728_at,12.37149671
26035_at,12.35847934
28385_at,12.35740019
57184_at,12.35500404
51284_at,12.34873822
1890_at,12.34757918
57658_at,12.34055327
90379_at,12.33907275
10782_at,12.33486784
387707_at,12.329822
26502_at,12.32820534
84174_at,12.3121095
84775_at,12.30960975
254887_at,12.30769006
28741_at,12.30730064
28677_at,12.30457169
117247_at,12.30244949
28623_at,12.28801403
90459_at,12.28555516
63935_at,12.28200502
28751_at,12.27920656
6723_at,12.26289026
126917_at,12.2551278
390927_at,12.24721569
203328_at,12.24610267
6135_at,12.23533511
1024_at,12.2314812
23370_at,12.23033928
400713_at,12.22649089
375484_at,12.21222151
26100_at,12.21215977
7100_at,12.20226511
28592_at,12.18633003
8398_at,12.18337365
539_at,12.18196887
28734_at,12.17407486
2625_at,12.17274475
25934_at,12.16264236
9732_at,12.14961055
399_at,12.14720445
100421246_at,12.14452427
56949_at,12.14406033
64236_at,12.13990985
58488_at,12.1378269
7178_at,12.13534581
5528_at,12.1307184
22866_at,12.11797014
10490_at,12.11244776
5019_at,12.09502365
27185_at,12.07838557
253012_at,12.07660792
155066_at,12.05072811
10632_at,12.04222926
22903_at,12.03717908
28483_at,12.02936831
26338_at,12.01778735
23166_at,12.00401185
83607_at,12.00279736
392437_at,12.00100077
23157_at,11.98624523
677821_at,11.97243228
160518_at,11.97182854
57711_at,11.96751441
4707_at,11.96437743
100505622_at,11.96247396
146330_at,11.96145203
51400_at,11.96099915
53347_at,11.94967659
26119_at,11.94922348
155038_at,11.94137051
28736_at,11.93577995
7476_at,11.91406685
3811_at,11.91279601
23306_at,11.90856465
91050_at,11.90620245
81539_at,11.89759177
6944_at,11.88843558
83416_at,11.86868419
2766_at,11.85956727
8535_at,11.8485128
25932_at,11.84556827
84792_at,11.83472501
660_at,11.82815927
51728_at,11.8156113
148823_at,11.814666
128646_at,11.80669393
100422106_at,11.80536998
2079_at,11.80150935
28698_at,11.79502833
2633_at,11.7925339
6837_at,11.78916113
4351_at,11.77046083
105376569_at,11.75349943
23403_at,11.75167032
285505_at,11.74813309
28772_at,11.74685493
2078_at,11.74421412
1073_at,11.73504021
51304_at,11.72004304
9726_at,11.71059442
84612_at,11.70695556
55229_at,11.70541388
220042_at,11.69915796
246754_at,11.69350463
140564_at,11.68898643
2959_at,11.68628588
55658_at,11.68522192
131540_at,11.68238461
6181_at,11.67712123
83938_at,11.67626483
90121_at,11.66689816
57415_at,11.66385409
9604_at,11.65240929
10855_at,11.65088518
28882_at,11.650213
222236_at,11.64889518
400759_at,11.64746737
7388_at,11.63909988
374403_at,11.6383168
4242_at,11.62843208
26785_at,11.62516123
55653_at,11.62298561
84916_at,11.61180733
23417_at,11.60887171
105376090_at,11.59284472
2826_at,11.58389314
3712_at,11.57173708
79831_at,11.57012324
64852_at,11.56421065
6932_at,11.5619151
256435_at,11.56035768
729313_at,11.54651766
64769_at,11.54535111
100126341_at,11.54256843
107984970_at,11.51813776
55706_at,11.50826781
6973_at,11.50669565
4709_at,11.49370396
3163_at,11.48894572
103910_at,11.47450134
5546_at,11.47292066
644051_at,11.46756169
80212_at,11.46613111
79673_at,11.46461406
100130029_at,11.46004321
116151_at,11.44909415
6209_at,11.43988658
105370676_at,11.43113259
5337_at,11.42535587
11213_at,11.41557922
28638_at,11.41385517
692109_at,11.40394642
106481160_at,11.39962805
3561_at,11.39770186
10671_at,11.39483778
644522_at,11.39374749
28465_at,11.3877175
6844_at,11.3860691
23220_at,11.38290562
105369325_at,11.3797342
92285_at,11.36894547
55027_at,11.36567617
644961_at,11.36476944
79066_at,11.36471363
340152_at,11.36173283
84290_at,11.3600263
116931_at,11.35194089
105372712_at,11.34439406
6374_at,11.32663848
125919_at,11.32543158
444_at,11.32271372
521_at,11.31318908
7850_at,11.30883908
26249_at,11.30663622
3503_at,11.29905678
951_at,11.29833798
64174_at,11.29611899
653441_at,11.29329343
8697_at,11.29272602
102723922_at,11.28493986
5425_at,11.27245684
54850_at,11.2581612
6130_at,11.25126723
105373195_at,11.2512282
28457_at,11.24763859
170622_at,11.2443443
28723_at,11.23705427
374_at,11.22928665
440712_at,11.21922021
100287215_at,11.20963637
594_at,11.20890807
79939_at,11.20862636
27341_at,11.20632848
8555_at,11.20283083
55094_at,11.20023302
692233_at,11.1967394
83666_at,11.19533231
100379661_at,11.17285531
342618_at,11.16233243
10235_at,11.16194441
8396_at,11.15459743
2869_at,11.1526373
4694_at,11.15140309
22822_at,11.14978852
643332_at,11.14633276
79966_at,11.14384846
1622_at,11.13562083
91869_at,11.13343975
10241_at,11.13127299
60674_at,11.12895417
AFFX-r2-Ec-bioD-5_at,11.12834677
8434_at,11.12062998
10289_at,11.1101615
10067_at,11.10455957
79847_at,11.10100042
170591_at,11.09801157
724105_at,11.09302432
3495_at,11.07442525
1326_at,11.06626104
23526_at,11.06245442
10929_at,11.0608937
163702_at,11.06067973
5641_at,11.05521498
7504_at,11.04833288
55802_at,11.04218124
58473_at,11.03834057
160335_at,11.03757029
134266_at,11.03736113
